(07.620085) 0x7f04a70ac000-0x7f04a70ad000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x11000 reg fp  shmid: 0x7b
(07.620088) 0x7f04a70ad000-0x7f04a70ae000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x12000 reg fp  shmid: 0x7b
(07.620090) 0x7f04a70b1000-0x7f04a70b4000 (12K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x7c
(07.620092) 0x7f04a70b4000-0x7f04a70b9000 (20K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x3000 reg fp  shmid: 0x7c
(07.620094) 0x7f04a70b9000-0x7f04a70bc000 (12K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x8000 reg fp  shmid: 0x7c
(07.620097) 0x7f04a70bc000-0x7f04a70bd000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0xa000 reg fp  shmid: 0x7c
(07.620099) 0x7f04a70bd000-0x7f04a70be000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0xb000 reg fp  shmid: 0x7c
(07.620102) 0x7f04a70be000-0x7f04a70c0000 (8K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x7d
(07.620104) 0x7f04a70c0000-0x7f04a70c3000 (12K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x2000 reg fp  shmid: 0x7d
(07.620106) 0x7f04a70c3000-0x7f04a70c5000 (8K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x5000 reg fp  shmid: 0x7d
(07.620108) 0x7f04a70c5000-0x7f04a70c6000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x6000 reg fp  shmid: 0x7d
(07.620111) 0x7f04a70c6000-0x7f04a70c7000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x7000 reg fp  shmid: 0x7d
(07.620113) 0x7f04a70c7000-0x7f04a71c7000 (1024K) prot 0x3 flags 0x22 fdflags 0 st 0x201 off 0 reg ap  shmid: 0
(07.620115) 0x7f04a71c7000-0x7f04a71cc000 (20K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x7e
(07.620118) 0x7f04a71cc000-0x7f04a71df000 (76K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x5000 reg fp  shmid: 0x7e
(07.620120) 0x7f04a71df000-0x7f04a71e5000 (24K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x18000 reg fp  shmid: 0x7e
(07.620122) 0x7f04a71e5000-0x7f04a71e6000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x1e000 reg fp  shmid: 0x7e
(07.620124) 0x7f04a71e6000-0x7f04a71e7000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x1f000 reg fp  shmid: 0x7e
(07.620127) 0x7f04a71e7000-0x7f04a71eb000 (16K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x7f
(07.620129) 0x7f04a71eb000-0x7f04a71f5000 (40K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x4000 reg fp  shmid: 0x7f
(07.620131) 0x7f04a71f5000-0x7f04a71fe000 (36K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0xe000 reg fp  shmid: 0x7f
(07.620134) 0x7f04a71fe000-0x7f04a71ff000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x16000 reg fp  shmid: 0x7f
(07.620136) 0x7f04a71ff000-0x7f04a7200000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x17000 reg fp  shmid: 0x7f
(07.620138) 0x7f04a7200000-0x7f04a7400000 (2048K) prot 0x3 flags 0x22 fdflags 0 st 0x201 off 0 reg ap  shmid: 0
(07.620141) 0x7f04a7400000-0x7f04a74dc000 (880K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x80
(07.620143) 0x7f04a74dc000-0x7f04a7833000 (3420K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0xdc000 reg fp  shmid: 0x80
(07.620145) 0x7f04a7833000-0x7f04a7958000 (1172K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x433000 reg fp  shmid: 0x80
(07.620148) 0x7f04a7958000-0x7f04a79cf000 (476K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x558000 reg fp  shmid: 0x80
(07.620150) 0x7f04a79cf000-0x7f04a79d2000 (12K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x5cf000 reg fp  shmid: 0x80
(07.620152) 0x7f04a79d2000-0x7f04a79d5000 (12K) prot 0x3 flags 0x22 fdflags 0 st 0x201 off 0 reg ap  shmid: 0
(07.620154) 0x7f04a79d7000-0x7f04a79d8000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x81
(07.620157) 0x7f04a79d8000-0x7f04a79da000 (8K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x1000 reg fp  shmid: 0x81
(07.620159) 0x7f04a79da000-0x7f04a79db000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x3000 reg fp  shmid: 0x81
(07.620161) 0x7f04a79db000-0x7f04a79dc000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x3000 reg fp  shmid: 0x81
(07.620164) 0x7f04a79dc000-0x7f04a79dd000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0x4000 reg fp  shmid: 0x81
(07.620168) 0x7f04a79dd000-0x7f04a79e0000 (12K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x82
(07.620170) 0x7f04a79e0000-0x7f04a79e4000 (16K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x3000 reg fp  shmid: 0x82
(07.620173) 0x7f04a79e4000-0x7f04a79e7000 (12K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x7000 reg fp  shmid: 0x82
(07.620175) 0x7f04a79e7000-0x7f04a79e8000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0x9000 reg fp  shmid: 0x82
(07.620177) 0x7f04a79e8000-0x7f04a79e9000 (4K) prot 0x3 flags 0x2 fdflags 0 st 0x40041 off 0xa000 reg fp  shmid: 0x82
(07.620180) 0x7f04a79e9000-0x7f04a79ea000 (4K) prot 0x1 flags 0x2 fdflags 0 st 0x40041 off 0 reg fp  shmid: 0x83
(07.620182) 0x7f04a79ea000-0x7f04a79eb000 (4K) prot 0x5 flags 0x2 fdflags 0 st 0x40041 off 0x1000 reg fp  shmid: 0x83
