ts,gpu,gr_engine_active,dram_active,tensor_active,power_w,fb_used_mib
1781293044,0,0.000000,0.000000,0.000000,245.720000,170179
1781293044,1,0.000000,0.000000,0.000000,241.686000,170007
1781293044,2,0.000000,0.000000,0.000000,245.936000,170105
1781293044,3,0.000000,0.000000,0.000000,239.187000,169267
1781293044,4,0.000000,0.000000,0.000000,245.069000,169267
1781293044,5,0.000000,0.000000,0.000000,237.715000,170113
1781293044,6,0.000000,0.000000,0.000000,244.834000,170383
1781293044,7,0.000000,0.000000,0.000000,235.955000,170183
1781293046,0,0.000000,0.000000,0.000000,245.720000,170179
1781293046,1,0.000000,0.000000,0.000000,241.686000,170007
1781293046,2,0.000000,0.000000,0.000000,245.936000,170105
1781293046,3,0.000000,0.000000,0.000000,239.187000,169267
1781293046,4,0.000000,0.000000,0.000000,245.069000,169267
1781293046,5,0.000000,0.000000,0.000000,237.715000,170113
1781293046,6,0.000000,0.000000,0.000000,244.834000,170383
1781293046,7,0.000000,0.000000,0.000000,235.955000,170183
1781293048,0,0.000000,0.000000,0.000000,245.720000,170179
1781293048,1,0.000000,0.000000,0.000000,241.686000,170007
1781293048,2,0.000000,0.000000,0.000000,245.936000,170105
1781293048,3,0.000000,0.000000,0.000000,239.187000,169267
1781293048,4,0.000000,0.000000,0.000000,245.069000,169267
1781293048,5,0.000000,0.000000,0.000000,237.715000,170113
1781293048,6,0.000000,0.000000,0.000000,244.834000,170383
1781293048,7,0.000000,0.000000,0.000000,235.955000,170183
1781293050,0,0.000000,0.000000,0.000000,245.720000,170179
1781293050,1,0.000000,0.000000,0.000000,241.686000,170007
1781293050,2,0.000000,0.000000,0.000000,245.936000,170105
1781293050,3,0.000000,0.000000,0.000000,239.187000,169267
1781293050,4,0.000000,0.000000,0.000000,245.069000,169267
1781293050,5,0.000000,0.000000,0.000000,237.715000,170113
1781293050,6,0.000000,0.000000,0.000000,244.834000,170383
1781293050,7,0.000000,0.000000,0.000000,235.955000,170183
1781293052,0,0.000000,0.000000,0.000000,245.720000,170179
1781293052,1,0.000000,0.000000,0.000000,241.686000,170007
1781293052,2,0.000000,0.000000,0.000000,245.936000,170105
1781293052,3,0.000000,0.000000,0.000000,239.187000,169267
1781293052,4,0.000000,0.000000,0.000000,245.069000,169267
1781293052,5,0.000000,0.000000,0.000000,237.715000,170113
1781293052,6,0.000000,0.000000,0.000000,244.834000,170383
1781293052,7,0.000000,0.000000,0.000000,235.955000,170183
1781293054,0,0.000000,0.000000,0.000000,245.720000,170179
1781293054,1,0.000000,0.000000,0.000000,241.686000,170007
1781293054,2,0.000000,0.000000,0.000000,245.936000,170105
