# P1 standard workload suite — Nemotron-3-Ultra-550B-A55B-NVFP4 | vLLM v0.22.0 | B200 TP4 nemotron_h_mtp k=5
# us-east-2 az2. temp=1.0 top_p=0.95, ignore_eos+min_tokens (full output token counts). captured 2026-06-06.
# agg_tps = sum per-stream output tok/s at the given concurrency (one wave at full conc).
# CAVEAT: accept_len here is INFLATED (caps at 6.0 = K+1) because the synthetic input padding is highly repetitive,
#   so MTP predicts near-perfectly. The REALISTIC single-stream accept_len on diverse prompts is 3.54 (see single-stream-vllm.tsv).
#   Throughput figures are valid; treat accept_len as an upper bound only.
workload	concurrency	input_tokens	output_tokens	agg_tok_s	e2e_median_s	accept_len	errors
warmup	2	256	32	226.2	0.28	6.0	0
chatbot-short	16	256	128	1336.6	1.53	6.0	0
chatbot-long	4	32768	512	459.6	4.45	6.0	0
rag-long-context	8	16384	256	1233.3	1.66	5.0	0
coding-agent	8	4096	2048	2008.4	8.16	6.0	0
sharegpt-production-mix	16	512	256	1574.5	2.60	6.0	0
# vs first-run SGLang TP8 wide-tree: chatbot-short 1337 vs 452 (2.96x), chatbot-long 460 vs 167 (2.75x),
#   rag-long-context 1233 vs 251 (4.91x), coding-agent 2008 vs 638 (3.15x), sharegpt-mix 1575 vs 663 (2.37x).
# All 0 errors. vLLM on TP4/B200 beats SGLang TP8/B300 across every workload despite half the GPUs.
