# nemotron-3-ultra | sglang-tp4-eagle | B300 p6-b300.48xlarge | us-west-2b | real prompts | temp=1.0 | 512 out
# captured 2026-06-05. decode_med = SGLang meta_info.decode_throughput (engine decode rate); per_req = wall-clock tok/s incl prefill.
conc	total_req	agg_tok_s	per_req_med_tok_s	decode_med_tok_s	accept_len_med	dur_s
1	8	99.2	101.6	130.4	1.91	34.2
4	12	269.4	71.2	102.7	2.04	20.5
16	48	673.8	47.6	64.0	1.90	30.2
32	96	1006.6	35.1	48.1	1.91	42.1
64	192	1040.4	33.2	45.1	1.91	80.1
128	384	1038.0	32.6	42.3	1.92	158.4
256	768	1029.8	31.9	42.0	1.93	320.8
