#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:43:16       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:43:16       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:17       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:43:17       1      0      0      0      0      0      0  12481   2355  91769  91770      0 
 20260615    13:43:18       0      0      0      0      0      0      0  12481   2422  91763  91764      0 
 20260615    13:43:18       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:19       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:19       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:20       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:20       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:21       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:21       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:22       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:22       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:23       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:23       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:24       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:24       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:25       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:25       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:26       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:26       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:27       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:27       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:28       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:28       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:43:29       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:43:29       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
