#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    14:11:52       0      0      0      0      0      0      0  12481   2325  91469  91469      0 
 20260615    14:11:54       0      0      0      0      0      0      0  12481   2325  91469  91469      0 
 20260615    14:11:55       0      0      0      0      0      0      0  12481   2325  91469  91469      0 
 20260615    14:11:56       0      0      0      0      0      0      0  12481   2325  91469  91469      0 
 20260615    14:11:57       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:11:58       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:11:59       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:00       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:01       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:02       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:03       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:04       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:05       0      0      0      0      0      0      0  12481   2317  91469  91469      0 
 20260615    14:12:06       0     78     46      0      0      0      0  12481   2310  91469  91469      0 
 20260615    14:12:07       0     99     64      0      0      0      0  12481   2370  91469  91469      0 
 20260615    14:12:08       0     99     66      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:12:09       0     99     68      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:12:10       0     99     70      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:12:11       0     99     72      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:12:12       0     99     72      0      0      0      0  12481   2385  91469  91469      0 
 20260615    14:12:13       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:14       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:15       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:16       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:17       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:18       0     99     72      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:19       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:20       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:21       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:22       0     99     72      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:23       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:24       0     99     72      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:25       0     99     73      0      0      0      0  12481   2385  91759  91759      0 
 20260615    14:12:26       0     99     72      0      0      0      0  12481   2385  91759  91759      0 
