#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    14:10:56       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:57       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:58       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:59       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:11:00       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:01       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:02       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:03       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:04       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:05       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:11:06       0     99     58      0      0      0      0  12481   2287  90279  90279      0 
 20260615    14:11:07       0     99     63      0      0      0      0  12481   2310  90279  90279      0 
 20260615    14:11:08       0     94     54      0      0      0      0  12481   2295  90279  90279      0 
 20260615    14:11:09       0     91     57      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:10       0     98     62      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:11       0     99     65      0      0      0      0  12481   2347  90279  90279      0 
 20260615    14:11:12       0     98     63      0      0      0      0  12481   2400  90279  90279      0 
 20260615    14:11:13       0     99     65      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:14       0     99     65      0      0      0      0  12481   2377  90279  90279      0 
 20260615    14:11:15       0     95     59      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:16       0     99     54      0      0      0      0  12481   2377  90279  90279      0 
 20260615    14:11:17       0     96     53      0      0      0      0  12481   2407  90279  90279      0 
 20260615    14:11:18       0     98     64      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:19       0     92     55      0      0      0      0  12481   2392  90279  90279      0 
 20260615    14:11:20       0     95     50      0      0      0      0  12481   2325  90279  90279      0 
