#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    14:11:23       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:24       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:25       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:26       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:27       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:28       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:29       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:30       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:31       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:32       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:33       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:11:34       0     99     61      0      0      0      0  12481   2377  90279  90279      0 
 20260615    14:11:35       0     99     68      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:36       0     98     62      0      0      0      0  12481   2370  90279  90279      0 
 20260615    14:11:37       0     99     65      0      0      0      0  12481   2377  90407  90407      0 
 20260615    14:11:38       0     99     69      0      0      0      0  12481   2377  90471  90471      0 
 20260615    14:11:39       0     99     70      0      0      0      0  12481   2377  90471  90471      0 
 20260615    14:11:40       0     99     71      0      0      0      0  12481   2385  90659  90659      0 
 20260615    14:11:41       0     99     73      0      0      0      0  12481   2385  91049  91049      0 
 20260615    14:11:42       0     99     72      0      0      0      0  12481   2385  91049  91049      0 
 20260615    14:11:43       0     99     73      0      0      0      0  12481   2385  91469  91469      0 
 20260615    14:11:44       0     99     72      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:11:45       0     99     71      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:11:46       0     99     70      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:11:47       0     99     70      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:11:48       0     99     72      0      0      0      0  12481   2377  91469  91469      0 
 20260615    14:11:49       0     57     36      0      0      0      0  12481   2415  91469  91469      0 
