#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    13:42:05       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:05       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:06       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:06       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:07       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:07       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:08       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:08       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:09       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:09       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:10       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:10       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:11       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:11       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:12       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:12       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:13       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:13       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:15       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:15       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:16       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:16       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:17       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:17       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:18       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:18       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:19       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:19       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
 20260615    13:42:20       0      0      0      0      0      0      0  12481   2317  91763  91764      0 
 20260615    13:42:20       1      0      0      0      0      0      0  12481   2347  91769  91770      0 
