#Date        Time         gpu     sm    mem    enc    dec    jpg    ofa   mclk   pclk     fb   bar1   ccpm 
#YYYYMMDD    HH:MM:SS     Idx      %      %      %      %      %      %    MHz    MHz     MB     MB     MB 
 20260615    14:10:29       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:30       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:31       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:32       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:33       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:34       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:35       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:36       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:37       0      0      0      0      0      0      0  12481   2325  90279  90279      0 
 20260615    14:10:38       0     98     53      0      0      0      0  12481   2265  90279  90279      0 
 20260615    14:10:39       0     72     32      0      0      0      0  12481   2287  90279  90279      0 
 20260615    14:10:40       0     99     48      0      0      0      0  12481   2265  90279  90279      0 
 20260615    14:10:41       0     99     50      0      0      0      0  12481   2272  90279  90279      0 
 20260615    14:10:42       0      7      4      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:43       0     96     51      0      0      0      0  12481   2265  90279  90279      0 
 20260615    14:10:44       0     99     50      0      0      0      0  12481   2310  90279  90279      0 
 20260615    14:10:45       0     99     57      0      0      0      0  12481   2295  90279  90279      0 
 20260615    14:10:46       0     95     42      0      0      0      0  12481   2310  90279  90279      0 
 20260615    14:10:48       0     91     54      0      0      0      0  12481   2332  90279  90279      0 
 20260615    14:10:49       0      0      0      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:50       0     96     61      0      0      0      0  12481   2317  90279  90279      0 
 20260615    14:10:51       0     48     28      0      0      0      0  12481   2340  90279  90279      0 
 20260615    14:10:52       0     99     46      0      0      0      0  12481   2287  90279  90279      0 
 20260615    14:10:53       0     35     16      0      0      0      0  12481   2287  90279  90279      0 
