TRAFFIC_START url=http://172.20.222.161:80/ rps=50.0 duration=240.0
HEARTBEAT t=5s sent=250 ok=249 err=0
HEARTBEAT t=10s sent=500 ok=499 err=0
HEARTBEAT t=15s sent=750 ok=749 err=0
HEARTBEAT t=21s sent=1000 ok=999 err=0
HEARTBEAT t=26s sent=1250 ok=1249 err=0
HEARTBEAT t=31s sent=1500 ok=1499 err=0
HEARTBEAT t=36s sent=1750 ok=1749 err=0
HEARTBEAT t=41s sent=2000 ok=1999 err=0
HEARTBEAT t=46s sent=2250 ok=2249 err=0
HEARTBEAT t=51s sent=2500 ok=2499 err=0
HEARTBEAT t=57s sent=2750 ok=2749 err=0
HEARTBEAT t=62s sent=3000 ok=2999 err=0
HEARTBEAT t=67s sent=3250 ok=3249 err=0
HEARTBEAT t=72s sent=3500 ok=3499 err=0
HEARTBEAT t=77s sent=3750 ok=3749 err=0
HEARTBEAT t=82s sent=4000 ok=3999 err=0
HEARTBEAT t=87s sent=4250 ok=4249 err=0
HEARTBEAT t=93s sent=4500 ok=4499 err=0
HEARTBEAT t=98s sent=4750 ok=4749 err=0
HEARTBEAT t=103s sent=5000 ok=4999 err=0
HEARTBEAT t=108s sent=5250 ok=5249 err=0
HEARTBEAT t=113s sent=5500 ok=5499 err=0
HEARTBEAT t=118s sent=5750 ok=5749 err=0
HEARTBEAT t=123s sent=6000 ok=5999 err=0
HEARTBEAT t=129s sent=6250 ok=6249 err=0
HEARTBEAT t=134s sent=6500 ok=6499 err=0
HEARTBEAT t=139s sent=6750 ok=6749 err=0
HEARTBEAT t=144s sent=7000 ok=6999 err=0
HEARTBEAT t=149s sent=7250 ok=7249 err=0
HEARTBEAT t=154s sent=7500 ok=7499 err=0
HEARTBEAT t=160s sent=7750 ok=7749 err=0
HEARTBEAT t=165s sent=8000 ok=7999 err=0
HEARTBEAT t=170s sent=8250 ok=8249 err=0
HEARTBEAT t=175s sent=8500 ok=8499 err=0
HEARTBEAT t=180s sent=8750 ok=8749 err=0
HEARTBEAT t=185s sent=9000 ok=8999 err=0
HEARTBEAT t=190s sent=9250 ok=9249 err=0
HEARTBEAT t=196s sent=9500 ok=9499 err=0
HEARTBEAT t=201s sent=9750 ok=9749 err=0
HEARTBEAT t=206s sent=10000 ok=9999 err=0
HEARTBEAT t=211s sent=10250 ok=10249 err=0
HEARTBEAT t=216s sent=10500 ok=10499 err=0
HEARTBEAT t=221s sent=10750 ok=10749 err=0
HEARTBEAT t=226s sent=11000 ok=10999 err=0
HEARTBEAT t=232s sent=11250 ok=11249 err=0
HEARTBEAT t=237s sent=11500 ok=11499 err=0
DRAINING...
SUMMARY {"total": 11658, "successes": 11658, "errors": 0, "error_rate_pct": 0.0, "latency_p50_ms": 14.4, "latency_p99_ms": 18.6, "error_window_s": 0}
