TRAFFIC_START url=http://172.20.222.161:80/ rps=50.0 duration=300.0
HEARTBEAT t=5s sent=250 ok=249 err=0
HEARTBEAT t=10s sent=500 ok=499 err=0
HEARTBEAT t=15s sent=750 ok=749 err=0
HEARTBEAT t=21s sent=1000 ok=999 err=0
HEARTBEAT t=26s sent=1250 ok=1249 err=0
HEARTBEAT t=31s sent=1500 ok=1499 err=0
HEARTBEAT t=36s sent=1750 ok=1749 err=0
HEARTBEAT t=41s sent=2000 ok=1999 err=0
HEARTBEAT t=46s sent=2250 ok=2249 err=0
HEARTBEAT t=52s sent=2500 ok=2499 err=0
HEARTBEAT t=57s sent=2750 ok=2749 err=0
HEARTBEAT t=62s sent=3000 ok=2993 err=6
HEARTBEAT t=67s sent=3250 ok=3243 err=6
HEARTBEAT t=72s sent=3500 ok=3493 err=6
HEARTBEAT t=77s sent=3750 ok=3743 err=6
HEARTBEAT t=82s sent=4000 ok=3993 err=6
HEARTBEAT t=88s sent=4250 ok=4243 err=6
HEARTBEAT t=93s sent=4500 ok=4493 err=6
HEARTBEAT t=98s sent=4750 ok=4743 err=6
HEARTBEAT t=103s sent=5000 ok=4993 err=6
HEARTBEAT t=108s sent=5250 ok=5243 err=6
HEARTBEAT t=113s sent=5500 ok=5493 err=6
HEARTBEAT t=118s sent=5750 ok=5743 err=6
HEARTBEAT t=124s sent=6000 ok=5993 err=6
HEARTBEAT t=129s sent=6250 ok=6243 err=6
HEARTBEAT t=134s sent=6500 ok=6493 err=6
HEARTBEAT t=139s sent=6750 ok=6743 err=6
HEARTBEAT t=144s sent=7000 ok=6993 err=6
HEARTBEAT t=149s sent=7250 ok=7243 err=6
HEARTBEAT t=154s sent=7500 ok=7493 err=6
HEARTBEAT t=160s sent=7750 ok=7743 err=6
HEARTBEAT t=165s sent=8000 ok=7993 err=6
HEARTBEAT t=170s sent=8250 ok=8243 err=6
HEARTBEAT t=175s sent=8500 ok=8493 err=6
HEARTBEAT t=180s sent=8750 ok=8743 err=6
HEARTBEAT t=185s sent=9000 ok=8993 err=6
HEARTBEAT t=190s sent=9250 ok=9243 err=6
HEARTBEAT t=196s sent=9500 ok=9493 err=6
HEARTBEAT t=201s sent=9750 ok=9736 err=6
HEARTBEAT t=206s sent=10000 ok=9993 err=6
HEARTBEAT t=211s sent=10250 ok=10243 err=6
HEARTBEAT t=216s sent=10500 ok=10493 err=6
HEARTBEAT t=221s sent=10750 ok=10743 err=6
HEARTBEAT t=226s sent=11000 ok=10993 err=6
HEARTBEAT t=232s sent=11250 ok=11243 err=6
HEARTBEAT t=237s sent=11500 ok=11493 err=6
HEARTBEAT t=242s sent=11750 ok=11743 err=6
HEARTBEAT t=247s sent=12000 ok=11993 err=6
HEARTBEAT t=252s sent=12250 ok=12243 err=6
HEARTBEAT t=257s sent=12500 ok=12493 err=6
HEARTBEAT t=262s sent=12750 ok=12743 err=6
HEARTBEAT t=268s sent=13000 ok=12993 err=6
HEARTBEAT t=273s sent=13250 ok=13243 err=6
HEARTBEAT t=278s sent=13500 ok=13493 err=6
HEARTBEAT t=283s sent=13750 ok=13743 err=6
HEARTBEAT t=288s sent=14000 ok=13993 err=6
HEARTBEAT t=293s sent=14250 ok=14243 err=6
HEARTBEAT t=298s sent=14500 ok=14493 err=6
DRAINING...
SUMMARY {"total": 14578, "successes": 14572, "errors": 6, "error_rate_pct": 0.04, "latency_p50_ms": 14.5, "latency_p99_ms": 107.9, "error_window_s": 0.2}
